wavelength,B_442,B_492,B_559,B_665,B_704,B_739,B_780,B_835,B_864,B_943,B_1375,B_1611,B_2184
778.0,,,,,,,1.0,0.0502885,,,,,
779.0,,,,,,,0.998047,0.0862639,,,,,
780.0,,,,,,,0.983934,0.149597,,,,,
781.0,,,,,,,0.965696,0.258429,,,,,
782.0,,,,,,,0.947277,0.425108,,,,,
783.0,,,,,,,0.927084,0.631698,,,,,
784.0,,,,,,,0.909765,0.803109,,,,,
785.0,,,,,,,0.886949,0.904985,,,,,
786.0,,,,,,,0.859517,0.939675,,,,,
787.0,,,,,,,0.827959,0.944959,,,,,
788.0,,,,,,,0.776384,0.948239,,,,,
789.0,,,,,,,0.671173,0.963881,,,,,
790.0,,,,,,,0.48181,0.979862,,,,,
791.0,,,,,,,0.236252,0.991636,,,,,
792.0,,,,,,,0.0695384,0.996362,,,,,
793.0,,,,,,,0.013432,1.0,,,,,
794.0,,,,,,,0.00125768,0.998258,,,,,
795.0,,,,,,,,0.998489,,,,,
796.0,,,,,,,,0.989253,,,,,
797.0,,,,,,,,0.982941,,,,,
798.0,,,,,,,,0.96819,,,,,
799.0,,,,,,,,0.958222,,,,,
800.0,,,,,,,,0.95165,,,,,
801.0,,,,,,,,0.947055,,,,,
802.0,,,,,,,,0.944167,,,,,
803.0,,,,,,,,0.948383,,,,,
804.0,,,,,,,,0.946461,,,,,
805.0,,,,,,,,0.942133,,,,,
806.0,,,,,,,,0.929937,,,,,
807.0,,,,,,,,0.914684,,,,,
808.0,,,,,,,,0.893249,,,,,
809.0,,,,,,,,0.873038,,,,,
810.0,,,,,,,,0.852648,,,,,
811.0,,,,,,,,0.836447,,,,,
812.0,,,,,,,,0.824301,,,,,
813.0,,,,,,,,0.814333,,,,,
814.0,,,,,,,,0.810956,,,,,
815.0,,,,,,,,0.803716,,,,,
816.0,,,,,,,,0.79198,,,,,
817.0,,,,,,,,0.78327,,,,,
818.0,,,,,,,,0.767839,,,,,
819.0,,,,,,,,0.754167,,,,,
820.0,,,,,,,,0.742309,,,,,
821.0,,,,,,,,0.727236,,,,,
822.0,,,,,,,,0.719323,,,,,
823.0,,,,,,,,0.713866,,,,,
824.0,,,,,,,,0.718941,,,,,
825.0,,,,,,,,0.726528,,,,,
826.0,,,,,,,,0.738324,,,,,
827.0,,,,,,,,0.750211,,,,,
828.0,,,,,,,,0.7618,,,,,
829.0,,,,,,,,0.7699,,,,,
830.0,,,,,,,,0.781725,,,,,
831.0,,,,,,,,0.78381,,,,,
832.0,,,,,,,,0.78307,,,,,
833.0,,,,,,,,0.782719,,,,,
834.0,,,,,,,,0.781644,,,,,
835.0,,,,,,,,0.78038,,,,,
836.0,,,,,,,,0.781443,,,,,
837.0,,,,,,,,0.781701,,,,,
838.0,,,,,,,,0.781774,,,,,
839.0,,,,,,,,0.780065,,,,,
840.0,,,,,,,,0.777592,,,,,
841.0,,,,,,,,0.770832,,,,,
842.0,,,,,,,,0.764575,,,,,
843.0,,,,,,,,0.753877,,,,,
844.0,,,,,,,,0.743325,,,,,
845.0,,,,,,,,0.733776,,,,,
846.0,,,,,,,,0.722498,,,,,
847.0,,,,,,,,0.712901,,,,,
848.0,,,,,,,,0.699439,0.00166175,,,,
849.0,,,,,,,,0.688575,0.0160258,,,,
850.0,,,,,,,,0.674039,0.0322539,,,,
851.0,,,,,,,,0.657553,0.0734113,,,,
852.0,,,,,,,,0.64373,0.168938,,,,
853.0,,,,,,,,0.628654,0.345506,,,,
854.0,,,,,,,,0.614006,0.569417,,,,
855.0,,,,,,,,0.603233,0.79635,,,,
856.0,,,,,,,,0.594983,0.937581,,,,
857.0,,,,,,,,0.588092,0.980943,,,,
858.0,,,,,,,,0.585186,0.987241,,,,
859.0,,,,,,,,0.582889,0.994409,,,,
860.0,,,,,,,,0.581494,0.998964,,,,
861.0,,,,,,,,0.580137,0.999788,,,,
862.0,,,,,,,,0.574805,1.0,,,,
863.0,,,,,,,,0.576655,0.994482,,,,
864.0,,,,,,,,0.5724,0.987807,,,,
865.0,,,,,,,,0.570993,0.983157,,,,
866.0,,,,,,,,0.569291,0.979827,,,,
867.0,,,,,,,,0.571025,0.97509,,,,
868.0,,,,,,,,0.570861,0.972819,,,,
869.0,,,,,,,,0.572213,0.96632,,,,
870.0,,,,,,,,0.575418,0.958195,,,,
871.0,,,,,,,,0.577804,0.941871,,,,
872.0,,,,,,,,0.579604,0.894185,,,,
873.0,,,,,,,,0.579295,0.778589,,,,
874.0,,,,,,,,0.578302,0.597363,,,,
875.0,,,,,,,,0.575656,0.377361,,,,
876.0,,,,,,,,0.569722,0.184668,,,,
877.0,,,,,,,,0.561891,0.0790455,,,,
878.0,,,,,,,,0.556831,0.0333933,,,,
879.0,,,,,,,,0.549385,0.0158085,,,,
880.0,,,,,,,,0.545858,0.00162404,,,,
881.0,,,,,,,,0.542536,,,,,
882.0,,,,,,,,0.541895,,,,,
883.0,,,,,,,,0.539852,,,,,
884.0,,,,,,,,0.537997,,,,,
885.0,,,,,,,,0.531955,,,,,
886.0,,,,,,,,0.522276,,,,,
887.0,,,,,,,,0.505572,,,,,
888.0,,,,,,,,0.488042,,,,,
889.0,,,,,,,,0.46961,,,,,
890.0,,,,,,,,0.456107,,,,,
891.0,,,,,,,,0.445849,,,,,
892.0,,,,,,,,0.44312,,,,,
893.0,,,,,,,,0.445581,,,,,
894.0,,,,,,,,0.447533,,,,,
895.0,,,,,,,,0.440183,,,,,
896.0,,,,,,,,0.41824,,,,,
897.0,,,,,,,,0.369456,,,,,
898.0,,,,,,,,0.301788,,,,,
899.0,,,,,,,,0.235015,,,,,
900.0,,,,,,,,0.174245,,,,,
901.0,,,,,,,,0.122383,,,,,
902.0,,,,,,,,0.0834628,,,,,
903.0,,,,,,,,0.0561622,,,,,
904.0,,,,,,,,0.038006,,,,,
905.0,,,,,,,,0.0242402,,,,,
906.0,,,,,,,,0.014846,,,,,
907.0,,,,,,,,0.0061329,,,,,
908.0,,,,,,,,,,,,,
909.0,,,,,,,,,,,,,
910.0,,,,,,,,,,,,,
911.0,,,,,,,,,,,,,
912.0,,,,,,,,,,,,,
913.0,,,,,,,,,,,,,
914.0,,,,,,,,,,,,,
915.0,,,,,,,,,,,,,
916.0,,,,,,,,,,,,,
917.0,,,,,,,,,,,,,
918.0,,,,,,,,,,,,,
919.0,,,,,,,,,,,,,
920.0,,,,,,,,,,,,,
921.0,,,,,,,,,,,,,
922.0,,,,,,,,,,,,,
923.0,,,,,,,,,,,,,
924.0,,,,,,,,,,,,,
925.0,,,,,,,,,,,,,
926.0,,,,,,,,,,,,,
927.0,,,,,,,,,,,,,
928.0,,,,,,,,,,,,,
929.0,,,,,,,,,,,,,
930.0,,,,,,,,,,0.0121211,,,
931.0,,,,,,,,,,0.0460224,,,
932.0,,,,,,,,,,0.151408,,,
933.0,,,,,,,,,,0.358642,,,
934.0,,,,,,,,,,0.606574,,,
935.0,,,,,,,,,,0.837342,,,
936.0,,,,,,,,,,0.933378,,,
937.0,,,,,,,,,,0.941429,,,
938.0,,,,,,,,,,0.957293,,,
939.0,,,,,,,,,,0.989804,,,
940.0,,,,,,,,,,0.997445,,,
941.0,,,,,,,,,,1.0,,,
942.0,,,,,,,,,,0.986378,,,
943.0,,,,,,,,,,0.974192,,,
944.0,,,,,,,,,,0.958969,,,
945.0,,,,,,,,,,0.973777,,,
946.0,,,,,,,,,,0.950412,,,
947.0,,,,,,,,,,0.945788,,,
948.0,,,,,,,,,,0.909974,,,
949.0,,,,,,,,,,0.887003,,,
950.0,,,,,,,,,,0.855136,,,
951.0,,,,,,,,,,0.836538,,,
952.0,,,,,,,,,,0.718536,,,
953.0,,,,,,,,,,0.523691,,,
954.0,,,,,,,,,,0.269749,,,
955.0,,,,,,,,,,0.0948008,,,
956.0,,,,,,,,,,0.0263876,,,
957.0,,,,,,,,,,0.00343341,,,
958.0,,,,,,,,,,,,,
959.0,,,,,,,,,,,,,
960.0,,,,,,,,,,,,,
961.0,,,,,,,,,,,,,
962.0,,,,,,,,,,,,,
963.0,,,,,,,,,,,,,
964.0,,,,,,,,,,,,,
965.0,,,,,,,,,,,,,
966.0,,,,,,,,,,,,,
967.0,,,,,,,,,,,,,
968.0,,,,,,,,,,,,,
969.0,,,,,,,,,,,,,
970.0,,,,,,,,,,,,,
971.0,,,,,,,,,,,,,
972.0,,,,,,,,,,,,,
973.0,,,,,,,,,,,,,
974.0,,,,,,,,,,,,,
975.0,,,,,,,,,,,,,
976.0,,,,,,,,,,,,,
977.0,,,,,,,,,,,,,
978.0,,,,,,,,,,,,,
979.0,,,,,,,,,,,,,
980.0,,,,,,,,,,,,,
981.0,,,,,,,,,,,,,
982.0,,,,,,,,,,,,,
983.0,,,,,,,,,,,,,
984.0,,,,,,,,,,,,,
